order_id,quantity,item_name,choice_description,item_price,item_price_zscore,choice_description_code,num_customizations,has_special_characters_item_name,total_price,calculated_total_price
1,1,izze,clementine,3.39,-1.4946344740605566,12,1,False,3.39,3.39
1,1,nantucket nectar,apple,3.39,-1.4946344740605566,5,1,False,3.39,3.39
2,1,chicken bowl,tomatillored chili salsa hot black beans rice cheese sour cream,16.98,2.1007296701546685,848,5,False,16.98,16.98
3,1,chicken bowl,fresh tomato salsa mild rice cheese sour cream guacamole lettuce,10.98,0.5133724320905514,100,6,False,10.98,10.98
4,1,steak burrito,tomatillo red chili salsa fajita vegetables black beans pinto beans cheese sour cream guacamole lettuce,11.75,0.717083277642113,720,8,False,11.75,11.75
4,1,steak soft tacos,tomatillo green chili salsa pinto beans cheese sour cream lettuce,9.25,0.0556844284487309,635,5,False,9.25,9.25
5,1,steak burrito,fresh tomato salsa rice black beans pinto beans cheese sour cream lettuce,9.25,0.0556844284487309,269,7,False,9.25,9.25
6,1,chicken crispy tacos,roasted chili corn salsa fajita vegetables rice black beans cheese sour cream,8.75,-0.0765953413899455,468,6,False,8.75,8.75
6,1,chicken soft tacos,roasted chili corn salsa rice black beans cheese sour cream,8.75,-0.0765953413899455,520,5,False,8.75,8.75
7,1,chicken bowl,fresh tomato salsa fajita vegetables rice cheese sour cream guacamole,11.25,0.5848035078034366,201,6,False,11.25,11.25
8,1,chicken burrito,tomatillogreen chili salsa medium pinto beans cheese sour cream,8.49,-0.14538082170605718,820,4,False,8.49,8.49
9,1,chicken burrito,fresh tomato salsa mild black beans rice cheese sour cream lettuce,8.49,-0.14538082170605718,51,6,False,8.49,8.49
9,1,canned soda,sprite,2.18,-1.8147515170701536,583,1,False,2.18,2.18
10,1,chicken bowl,tomatillo red chili salsa fajita vegetables black beans sour cream cheese lettuce,8.75,-0.0765953413899455,721,6,False,8.75,8.75
11,1,barbacoa burrito,fresh tomato salsa mild tomatillogreen chili salsa medium tomatillored chili salsa hot rice cheese sour cream lettuce,8.99,-0.013101051867380776,946,7,False,8.99,8.99
11,1,nantucket nectar,pomegranate cherry,3.39,-1.4946344740605566,363,1,False,3.39,3.39
12,1,chicken burrito,tomatillogreen chili salsa medium tomatillored chili salsa hot pinto beans rice cheese sour cream guacamole lettuce,10.98,0.5133724320905514,1028,8,False,10.98,10.98
12,1,izze,grapefruit,3.39,-1.4946344740605566,356,1,False,3.39,3.39
13,1,chicken bowl,roasted chili corn salsa medium pinto beans rice fajita veggies cheese sour cream lettuce,8.49,-0.14538082170605718,399,7,False,8.49,8.49
14,1,carnitas burrito,tomatillogreen chili salsa medium roasted chili corn salsa medium black beans rice sour cream lettuce,8.99,-0.013101051867380776,1021,6,False,8.99,8.99
14,1,canned soda,dr pepper,1.09,-2.1031214153184683,17,1,False,1.09,1.09
15,1,chicken burrito,tomatillogreen chili salsa medium pinto beans rice cheese sour cream,8.49,-0.14538082170605718,822,5,False,8.49,8.49
16,1,steak burrito,roasted chili corn salsa medium fresh tomato salsa mild rice black beans sour cream,8.99,-0.013101051867380776,980,5,False,8.99,8.99
17,1,carnitas bowl,tomatillored chili salsa hot black beans rice fajita veggies cheese sour cream lettuce,8.99,-0.013101051867380776,851,7,False,8.99,8.99
18,1,chicken soft tacos,roasted chili corn salsa rice,8.75,-0.0765953413899455,426,2,False,8.75,8.75
18,1,chicken soft tacos,roasted chili corn salsa cheese lettuce,8.75,-0.0765953413899455,442,3,False,8.75,8.75
19,1,barbacoa bowl,roasted chili corn salsa fajita vegetables rice black beans cheese sour cream guacamole lettuce,11.75,0.717083277642113,465,8,False,11.75,11.75
20,1,chicken bowl,roasted chili corn salsa rice black beans cheese sour cream guacamole lettuce,11.25,0.5848035078034366,517,7,False,11.25,11.25
20,1,steak burrito,fresh tomato salsa rice pinto beans cheese sour cream guacamole lettuce,11.75,0.717083277642113,321,7,False,11.75,11.75
20,1,chicken salad bowl,fresh tomato salsa fajita vegetables pinto beans lettuce,8.75,-0.0765953413899455,175,4,False,8.75,8.75
21,1,chicken burrito,tomatillored chili salsa hot black beans fajita veggies cheese sour cream guacamole lettuce,10.98,0.5133724320905514,842,7,False,10.98,10.98
21,1,steak burrito,tomatillored chili salsa hot rice fajita veggies cheese,8.99,-0.013101051867380776,889,4,False,8.99,8.99
